City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,6.35,85,66,15.93,TF,1690477175
1,katsuura,35.1333,140.3,25.08,86,18,3.91,JP,1690476688
2,codrington,-38.2667,141.9667,12.29,94,100,6.4,AU,1690476661
3,ancud,-41.8697,-73.8203,10.43,92,99,4.47,CL,1690476681
4,paracuru,-3.41,-39.0306,27.84,60,36,8.08,BR,1690477176
5,lata,40.1629,-8.3327,21.71,52,0,5.36,PT,1690476692
6,waitangi,-43.9535,-176.5597,7.68,58,20,12.23,NZ,1690477176
7,mahanoro,-19.9,48.8,19.0,76,50,2.03,MG,1690477176
8,longyearbyen,78.2186,15.6401,10.91,62,75,6.69,SJ,1690476701
9,howard springs,-12.497,131.047,21.57,53,76,1.08,AU,1690476551
10,rio grande,-32.035,-52.0986,17.06,66,90,2.72,BR,1690477177
11,lihue,21.9789,-159.3672,25.77,78,100,5.66,US,1690476647
12,grytviken,-54.2811,-36.5092,0.61,97,100,2.4,GS,1690476582
13,iqaluit,63.7506,-68.5145,12.85,58,40,3.09,CA,1690476679
14,adamstown,-25.066,-130.1015,19.24,60,51,1.98,PN,1690477178
15,cheremukhovo,60.3484,59.9851,15.79,86,92,1.76,RU,1690477178
16,svetlogorsk,52.6333,29.7333,15.13,95,97,5.58,BY,1690477178
17,enewetak,11.3474,162.3373,28.05,81,95,7.32,MH,1690477178
18,orotina,9.912,-84.5234,31.62,63,82,1.83,CR,1690477179
19,rabo de peixe,37.8,-25.5833,22.73,94,75,7.2,PT,1690477179
20,sao jose da coroa grande,-8.8978,-35.1478,26.6,73,22,4.68,BR,1690477179
21,suva,-18.1416,178.4415,18.71,94,75,0.0,FJ,1690477179
22,humaita,-7.5061,-63.0208,37.22,25,27,2.0,BR,1690477180
23,taro,-8.3862,115.28,21.03,91,77,1.59,ID,1690477180
24,taco pozo,-25.6167,-63.2833,21.28,43,99,1.19,AR,1690477180
25,goundam,16.4145,-3.6708,38.96,26,95,3.0,ML,1690477180
26,vila franca do campo,37.7167,-25.4333,23.23,78,65,5.67,PT,1690477181
27,utrik,11.2278,169.8474,28.37,79,100,8.07,MH,1690476571
28,ilulissat,69.2167,-51.1,5.01,93,75,2.06,GL,1690476660
29,edinburgh of the seven seas,-37.0676,-12.3116,10.34,52,50,5.75,SH,1690476588
30,blackmans bay,-43.0167,147.3167,9.85,78,87,2.36,AU,1690476631
31,albany,42.6001,-73.9662,29.38,79,97,1.79,US,1690476386
32,torghay,49.6339,63.4981,28.17,29,17,2.95,KZ,1690476606
33,korla,41.7597,86.1469,32.79,19,14,1.32,CN,1690477182
34,stanley,54.868,-1.6985,19.77,93,75,3.09,GB,1690476922
35,yuzhno-kurilsk,44.0306,145.8556,18.28,97,52,1.34,RU,1690477183
36,lebu,-37.6167,-73.65,12.55,82,100,2.13,CL,1690476426
37,west island,-12.1568,96.8225,24.99,78,75,9.26,CC,1690476592
38,tianshui,34.5439,105.6897,16.76,93,100,0.57,CN,1690477183
39,hithadhoo,-0.6,73.0833,28.67,77,40,5.98,MV,1690476684
40,mount isa,-20.7333,139.5,15.87,88,75,0.0,AU,1690476603
41,akkol',48.7833,53.2,31.12,27,0,3.72,KZ,1690477184
42,kittila,67.6647,24.8936,21.08,56,46,2.57,FI,1690477184
43,alice springs,-23.7,133.8833,14.75,82,40,0.0,AU,1690476706
44,nola,40.922,14.5329,30.17,63,1,3.31,IT,1690477184
45,sanctuary point,-35.1114,150.629,14.55,62,0,3.29,AU,1690477185
46,uturoa,-16.7333,-151.4333,26.15,79,8,4.59,PF,1690477185
47,udachny,66.4167,112.4,16.92,51,100,2.59,RU,1690476647
48,bamboo flat,11.7,92.7167,28.05,83,40,4.63,IN,1690476687
49,pangody,65.85,74.4859,20.05,67,95,3.29,RU,1690476749
50,aasiaat,68.7098,-52.8699,3.57,89,99,2.51,GL,1690476589
51,yellowknife,62.456,-114.3525,22.29,40,75,2.06,CA,1690477191
52,invercargill,-46.4,168.35,5.92,87,98,2.91,NZ,1690477191
53,syktyvkar,61.6764,50.8099,18.85,88,40,3.13,RU,1690476776
54,timbuktu,16.7735,-3.0074,38.68,25,82,3.22,ML,1690477191
55,port mathurin,-19.6833,63.4167,23.69,77,36,7.28,MU,1690477192
56,cabedelo,-6.9811,-34.8339,29.37,75,13,6.56,BR,1690476427
